Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Justin Speier,COL,62.1,259,0.5978,0.2097,0.2957,0.4946,0.1413,0.0978,0.0545,0.2500,0.3789,0.3158,0.3053,0.1632,0.6105,0.2263,451
2002,Denny Stark,COL,128.1,554,0.9595,0.1831,0.4000,0.4169,0.0751,0.1445,0.0843,0.3333,0.3824,0.3088,0.3088,0.1354,0.6675,0.1971,452
2002,John Thomson,2 Tms,181.2,800,0.8308,0.2384,0.3456,0.4160,0.1385,0.1077,0.0694,0.1818,0.3509,0.2998,0.3493,0.1548,0.6331,0.2121,453
2002,Rick White,2 Tms,62.2,264,1.4833,0.2398,0.4541,0.3061,0.1000,0.0667,0.1236,0.0000,0.4378,0.2935,0.2687,0.1244,0.6269,0.2488,456
2002,Juan Acevedo,DET,74.2,314,1.3506,0.2298,0.4426,0.3277,0.1299,0.0519,0.0673,0.0000,0.3926,0.2686,0.3388,0.1198,0.6777,0.2025,458
2002,Adam Bernero,DET,101.2,459,1.1077,0.2058,0.4174,0.3768,0.0769,0.1308,0.0556,0.3750,0.5212,0.2323,0.2465,0.0992,0.6091,0.2918,460
2002,Jeff Farnsworth,DET,70.0,331,1.5125,0.2472,0.4532,0.2996,0.1000,0.0750,0.0496,0.0000,0.4007,0.2868,0.3125,0.1029,0.6507,0.2463,465
2002,Jose Lima,DET,68.1,304,0.7105,0.2041,0.3306,0.4653,0.0702,0.1053,0.0494,0.6667,0.4556,0.3266,0.2177,0.0968,0.6129,0.2903,475
2002,Brian Moehler,2 Tms,63.0,278,1.3514,0.2301,0.4425,0.3274,0.0811,0.1486,0.0500,0.1429,0.4764,0.2833,0.2403,0.1760,0.5622,0.2618,480
2002,Mark Redman,DET,203.0,858,0.9927,0.1905,0.4032,0.4062,0.1309,0.0545,0.0806,0.2667,0.4379,0.3006,0.2616,0.1664,0.6310,0.2026,491
